57,[38],"Trans-Neon Orange",4935,1120,1993,2015
114,[114],"Glitter Trans-Dark Pink",168,29,1999,2012
117,[117],"Glitter Trans-Clear",14,9,2003,2015
129,[129],"Glitter Trans-Purple",21,9,2000,2015
143,[41],"Trans-Medium Blue",816,194,2001,2015
182,[57],Trans-Orange,7083,1259,2002,2015
230,[45],Trans-Pink,253,28,2003,2006
236,[44],"Trans-Light Purple",28,9,2005,2005
294,[294],"Glow In Dark Trans",78,19,2005,2015
1002,,"Glitter Trans-Neon Green",6,3,2015,2015
1003,,"Glitter Trans-Light Blue",6,2,2015,2015
32,[32],"Trans-Black IR Lens",0,0,,
