75919-1,2015,1155,"Jurassic World",,,0,0,"Indominus rex™ Breakout",//rebrickable.com/sets/75919-1/indominus-rex%E2%84%A2-breakout-jurassic-world-2015,//rebrickable.com/img/sets-t/75919-1.jpg,//rebrickable.com/img/sets-s/75919-1.jpg,//rebrickable.com/img/sets-b/75919-1.jpg
70732-1,2015,1062,Ninjago,,,0,0,"City of Stiix",//rebrickable.com/sets/70732-1/city-of-stiix-ninjago-2015,//rebrickable.com/img/sets-t/70732-1.jpg,//rebrickable.com/img/sets-s/70732-1.jpg,//rebrickable.com/img/sets-b/70732-1.jpg
76035-1,2015,1035,"Super Heroes",Batman,,0,0,Jokerland,//rebrickable.com/sets/76035-1/jokerland-batman-2015,//rebrickable.com/img/sets-t/76035-1.jpg,//rebrickable.com/img/sets-s/76035-1.jpg,//rebrickable.com/img/sets-b/76035-1.jpg
75104-1,2015,1002,"Star Wars",,,0,0,"Kylo Ren’s Command Shuttle™",//rebrickable.com/sets/75104-1/kylo-ren%E2%80%99s-command-shuttle%E2%84%A2-star-wars-2015,//rebrickable.com/img/sets-t/75104-1.jpg,//rebrickable.com/img/sets-s/75104-1.jpg,//rebrickable.com/img/sets-b/75104-1.jpg
60098-1,2015,982,Town,City,Trains,0,0,"Heavy-Haul Train",//rebrickable.com/sets/60098-1/heavy-haul-train-trains-2015,//rebrickable.com/img/sets-t/60098-1.jpg,//rebrickable.com/img/sets-s/60098-1.jpg,//rebrickable.com/img/sets-b/60098-1.jpg
75094-1,2015,935,"Star Wars",,,0,0,"Imperial Shuttle Tydirium",//rebrickable.com/sets/75094-1/imperial-shuttle-tydirium-star-wars-2015,//rebrickable.com/img/sets-t/75094-1.jpg,//rebrickable.com/img/sets-s/75094-1.jpg,//rebrickable.com/img/sets-b/75094-1.jpg
42038-1,2015,912,Technic,Model,Off-Road,0,0,"Arctic Truck",//rebrickable.com/sets/42038-1/arctic-truck-off-road-2015,//rebrickable.com/img/sets-t/42038-1.jpg,//rebrickable.com/img/sets-s/42038-1.jpg,//rebrickable.com/img/sets-b/42038-1.jpg
60096-1,2015,906,Town,Divers,,0,0,"Deep Sea Operation Base",//rebrickable.com/sets/60096-1/deep-sea-operation-base-divers-2015,//rebrickable.com/img/sets-t/60096-1.jpg,//rebrickable.com/img/sets-s/60096-1.jpg,//rebrickable.com/img/sets-b/60096-1.jpg
75913-1,2015,889,"Speed Champions",,,0,0,"F14 T &amp; Scuderia Ferrari Truck",//rebrickable.com/sets/75913-1/f14-t-scuderia-ferrari-truck-speed-champions-2015,//rebrickable.com/img/sets-t/75913-1.jpg,//rebrickable.com/img/sets-s/75913-1.jpg,//rebrickable.com/img/sets-b/75913-1.jpg
70227-1,2015,862,"Legends of Chima",,,0,0,"King Crominus&amp;#039; Rescue",//rebrickable.com/sets/70227-1/king-crominus039%3B-rescue-legends-of-chima-2015,//rebrickable.com/img/sets-t/70227-1.jpg,//rebrickable.com/img/sets-s/70227-1.jpg,//rebrickable.com/img/sets-b/70227-1.jpg
42038-1-b1,2015,860,Technic,Model,Off-Road,0,0,"Tracked Pickup Truck",//rebrickable.com/sets/42038-1-b1/tracked-pickup-truck-off-road-2015,//rebrickable.com/img/sets-t/42038-1-b1.jpg,//rebrickable.com/img/sets-s/42038-1-b1.jpg,//rebrickable.com/img/sets-b/42038-1-b1.jpg
40158-1,2015,855,Pirates,"Pirates III",,0,0,"Pirates Chess Set",//rebrickable.com/sets/40158-1/pirates-chess-set-pirates-iii-2015,//rebrickable.com/img/sets-t/40158-1.jpg,//rebrickable.com/img/sets-s/40158-1.jpg,//rebrickable.com/img/sets-b/40158-1.jpg
75904-1,2015,852,Scooby-Doo,,,0,0,"Mystery Mansion",//rebrickable.com/sets/75904-1/mystery-mansion-scooby-doo-2015,//rebrickable.com/img/sets-t/75904-1.jpg,//rebrickable.com/img/sets-s/75904-1.jpg,//rebrickable.com/img/sets-b/75904-1.jpg
41078-1,2015,806,Elves,,,0,0,"Skyra&#039;s Mysterious Sky Castle",//rebrickable.com/sets/41078-1/skyras-mysterious-sky-castle-elves-2015,//rebrickable.com/img/sets-t/41078-1.jpg,//rebrickable.com/img/sets-s/41078-1.jpg,//rebrickable.com/img/sets-b/41078-1.jpg
10698-1,2015,789,Classic,"Basic Set",,0,0,"Large Creative Brick Box",//rebrickable.com/sets/10698-1/large-creative-brick-box-basic-set-2015,//rebrickable.com/img/sets-t/10698-1.jpg,//rebrickable.com/img/sets-s/10698-1.jpg,//rebrickable.com/img/sets-b/10698-1.jpg
75103-1,2015,788,"Star Wars",,,0,0,"First Order Transporter™",//rebrickable.com/sets/75103-1/first-order-transporter%E2%84%A2-star-wars-2015,//rebrickable.com/img/sets-t/75103-1.jpg,//rebrickable.com/img/sets-s/75103-1.jpg,//rebrickable.com/img/sets-b/75103-1.jpg
60076-1,2015,774,Town,City,Construction,0,0,"Demolition Site",//rebrickable.com/sets/60076-1/demolition-site-construction-2015,//rebrickable.com/img/sets-t/60076-1.jpg,//rebrickable.com/img/sets-s/60076-1.jpg,//rebrickable.com/img/sets-b/60076-1.jpg
70750-1,2015,754,Ninjago,,,0,0,"Ninja DB X",//rebrickable.com/sets/70750-1/ninja-db-x-ninjago-2015,//rebrickable.com/img/sets-t/70750-1.jpg,//rebrickable.com/img/sets-s/70750-1.jpg,//rebrickable.com/img/sets-b/70750-1.jpg
70737-1,2015,749,Ninjago,,,0,0,"Titan Mech Battle",//rebrickable.com/sets/70737-1/titan-mech-battle-ninjago-2015,//rebrickable.com/img/sets-t/70737-1.jpg,//rebrickable.com/img/sets-s/70737-1.jpg,//rebrickable.com/img/sets-b/70737-1.jpg
70413-1,2015,743,Pirates,"Pirates III",,0,0,"The Brick Bounty",//rebrickable.com/sets/70413-1/the-brick-bounty-pirates-iii-2015,//rebrickable.com/img/sets-t/70413-1.jpg,//rebrickable.com/img/sets-s/70413-1.jpg,//rebrickable.com/img/sets-b/70413-1.jpg
41095-1,2015,726,Friends,,,0,0,"Emma&amp;#039;s House",//rebrickable.com/sets/41095-1/emma039%3Bs-house-friends-2015,//rebrickable.com/img/sets-t/41095-1.jpg,//rebrickable.com/img/sets-s/41095-1.jpg,//rebrickable.com/img/sets-b/41095-1.jpg
75093-1,2015,723,"Star Wars","Star Wars Episode 4/5/6",,0,0,"Death Star Final Duel",//rebrickable.com/sets/75093-1/death-star-final-duel-star-wars-episode-456-2015,//rebrickable.com/img/sets-t/75093-1.jpg,//rebrickable.com/img/sets-s/75093-1.jpg,//rebrickable.com/img/sets-b/75093-1.jpg
76032-1,2015,720,"Super Heroes",Avengers,,0,0,"The Avengers Quinjet Chase",//rebrickable.com/sets/76032-1/the-avengers-quinjet-chase-avengers-2015,//rebrickable.com/img/sets-t/76032-1.jpg,//rebrickable.com/img/sets-s/76032-1.jpg,//rebrickable.com/img/sets-b/76032-1.jpg
75102-1,2015,716,"Star Wars",,,0,0,"Poe&#039;s X-Wing Fighter™",//rebrickable.com/sets/75102-1/poes-x-wing-fighter%E2%84%A2-star-wars-2015,//rebrickable.com/img/sets-t/75102-1.jpg,//rebrickable.com/img/sets-s/75102-1.jpg,//rebrickable.com/img/sets-b/75102-1.jpg
60095-1,2015,711,Town,Divers,,0,0,"Deep Sea Exploration Vessel",//rebrickable.com/sets/60095-1/deep-sea-exploration-vessel-divers-2015,//rebrickable.com/img/sets-t/60095-1.jpg,//rebrickable.com/img/sets-s/60095-1.jpg,//rebrickable.com/img/sets-b/60095-1.jpg
70224-1,2015,710,"Legends of Chima",,,0,0,"Tiger&#039;s Mobile Command",//rebrickable.com/sets/70224-1/tigers-mobile-command-legends-of-chima-2015,//rebrickable.com/img/sets-t/70224-1.jpg,//rebrickable.com/img/sets-s/70224-1.jpg,//rebrickable.com/img/sets-b/70224-1.jpg
60069-1,2015,700,Town,City,Police,0,0,"Swamp Police Station",//rebrickable.com/sets/60069-1/swamp-police-station-police-2015,//rebrickable.com/img/sets-t/60069-1.jpg,//rebrickable.com/img/sets-s/60069-1.jpg,//rebrickable.com/img/sets-b/60069-1.jpg
21024-1,2015,694,Architecture,,,0,0,Louvre,//rebrickable.com/sets/21024-1/louvre-architecture-2015,//rebrickable.com/img/sets-t/21024-1.jpg,//rebrickable.com/img/sets-s/21024-1.jpg,//rebrickable.com/img/sets-b/21024-1.jpg
41109-1,2015,691,Friends,,,0,0,"Heartlake City Airport",//rebrickable.com/sets/41109-1/heartlake-city-airport-friends-2015,//rebrickable.com/img/sets-t/41109-1.jpg,//rebrickable.com/img/sets-s/41109-1.jpg,//rebrickable.com/img/sets-b/41109-1.jpg
41106-1,2015,681,Friends,,,0,0,"Pop Star Tour Bus",//rebrickable.com/sets/41106-1/pop-star-tour-bus-friends-2015,//rebrickable.com/img/sets-t/41106-1.jpg,//rebrickable.com/img/sets-s/41106-1.jpg,//rebrickable.com/img/sets-b/41106-1.jpg
21303-1,2015,676,"LEGO Ideas and CUUSOO",,,0,0,WALL•E,//rebrickable.com/sets/21303-1/wall%E2%80%A2e-lego-ideas-and-cuusoo-2015,//rebrickable.com/img/sets-t/21303-1.jpg,//rebrickable.com/img/sets-s/21303-1.jpg,//rebrickable.com/img/sets-b/21303-1.jpg
75096-1,2015,660,"Star Wars","Star Wars Episode 1",,0,0,"Sith Infiltrator",//rebrickable.com/sets/75096-1/sith-infiltrator-star-wars-episode-1-2015,//rebrickable.com/img/sets-t/75096-1.jpg,//rebrickable.com/img/sets-s/75096-1.jpg,//rebrickable.com/img/sets-b/75096-1.jpg
70736-1,2015,653,Ninjago,,,0,0,"Attack of the Morro Dragon",//rebrickable.com/sets/70736-1/attack-of-the-morro-dragon-ninjago-2015,//rebrickable.com/img/sets-t/70736-1.jpg,//rebrickable.com/img/sets-s/70736-1.jpg,//rebrickable.com/img/sets-b/70736-1.jpg
70223-1,2015,628,"Legends of Chima",,,0,0,"Icebite&#039;s Claw Driller",//rebrickable.com/sets/70223-1/icebites-claw-driller-legends-of-chima-2015,//rebrickable.com/img/sets-t/70223-1.jpg,//rebrickable.com/img/sets-s/70223-1.jpg,//rebrickable.com/img/sets-b/70223-1.jpg
70226-1,2015,620,"Legends of Chima",,,0,0,"Mammoth&amp;#039;s Frozen Stronghold",//rebrickable.com/sets/70226-1/mammoth039%3Bs-frozen-stronghold-legends-of-chima-2015,//rebrickable.com/img/sets-t/70226-1.jpg,//rebrickable.com/img/sets-s/70226-1.jpg,//rebrickable.com/img/sets-b/70226-1.jpg
70170-1,2015,611,Agents,"Ultra Agents",,0,0,"UltraCopter vs. AntiMatter",//rebrickable.com/sets/70170-1/ultracopter-vs.-antimatter-ultra-agents-2015,//rebrickable.com/img/sets-t/70170-1.jpg,//rebrickable.com/img/sets-s/70170-1.jpg,//rebrickable.com/img/sets-b/70170-1.jpg
